frame,timestamp_sec,speed_px/s,distance_px/s
862,28.7620,0.000,0.000
863,28.7954,0.000,0.000
864,28.8288,0.000,0.000
865,28.8621,0.000,0.000
866,28.8955,0.000,0.000
867,28.9289,0.000,0.000
868,28.9622,0.000,0.000
869,28.9956,7.493,0.250
870,29.0290,0.000,0.000
871,29.0623,0.000,0.000
872,29.0957,0.000,0.000
873,29.1291,0.000,0.000
874,29.1624,0.000,0.000
875,29.1958,0.000,0.000
876,29.2292,0.000,0.000
877,29.2625,0.000,0.000
878,29.2959,0.000,0.000
879,29.3293,0.000,0.000
880,29.3626,0.000,0.000
881,29.3960,0.000,0.000
882,29.4294,0.000,0.000
883,29.4627,0.000,0.000
884,29.4961,0.000,0.000
885,29.5295,0.000,0.000
886,29.5628,0.000,0.000
887,29.5962,0.000,0.000
888,29.6296,0.000,0.000
889,29.6629,0.000,0.000
890,29.6963,0.000,0.000
891,29.7297,0.000,0.000
892,29.7630,0.000,0.000
893,29.7964,0.000,0.000
894,29.8298,0.000,0.000
895,29.8631,0.000,0.000
896,29.8965,0.000,0.000
897,29.9299,0.000,0.000
898,29.9632,0.000,0.000
899,29.9966,0.000,0.000
900,30.0300,0.000,0.000
901,30.0633,0.000,0.000
902,30.0967,0.000,0.000
903,30.1301,0.000,0.000
904,30.1634,0.000,0.000
905,30.1968,0.000,0.000
906,30.2302,0.000,0.000
907,30.2635,0.000,0.000
908,30.2969,0.000,0.000
909,30.3303,0.000,0.000
910,30.3636,0.000,0.000
911,30.3970,0.000,0.000
912,30.4304,0.000,0.000
913,30.4637,0.000,0.000
914,30.4971,0.000,0.000
915,30.5305,0.000,0.000
916,30.5638,0.000,0.000
917,30.5972,0.000,0.000
918,30.6306,0.000,0.000
919,30.6639,0.000,0.000
920,30.6973,0.000,0.000
921,30.7307,0.000,0.000
922,30.7640,0.000,0.000
923,30.7974,0.000,0.000
