time,user,param,value,time_sec
00:08:38.9073240,3,amplitude,19.9,518.907324
00:08:38.9553820,3,amplitude,19.8,518.955382
00:08:39.0062058,3,amplitude,19.7,519.0062058
00:08:39.1746425,3,amplitude,19.8,519.1746425
00:08:39.1913808,3,amplitude,20.2,519.1913808
00:08:39.2063033,3,amplitude,20.5,519.2063033
00:08:39.2228412,3,amplitude,20.9,519.2228412
00:08:39.2401879,3,amplitude,21.1,519.2401879
00:08:39.2559480,3,amplitude,21.2,519.255948
00:08:39.2746235,3,amplitude,21.7,519.2746235
00:08:39.2899957,3,amplitude,22.2,519.2899957
00:08:39.3065074,3,amplitude,22.6,519.3065074
00:08:39.3239748,3,amplitude,23.3,519.3239748
00:08:39.3407377,3,amplitude,23.5,519.3407377
00:08:39.3684879,3,amplitude,23.7,519.3684879
00:08:39.3727737,3,amplitude,23.8,519.3727737
00:08:39.4242182,3,amplitude,23.9,519.4242182
00:08:39.4392661,3,amplitude,24.0,519.4392660999999
00:08:39.4731608,3,amplitude,24.2,519.4731608
00:08:39.5065315,3,amplitude,24.4,519.5065315
00:08:39.5244738,3,amplitude,24.5,519.5244738
00:08:39.5402848,3,amplitude,24.6,519.5402848
00:08:39.5584917,3,amplitude,24.9,519.5584917
00:08:39.5744463,3,amplitude,25.0,519.5744463
00:08:39.5889838,3,amplitude,25.2,519.5889838
00:08:39.6071497,3,amplitude,25.3,519.6071497
00:08:39.6240124,3,amplitude,25.9,519.6240124
00:08:39.6398164,3,amplitude,26.4,519.6398164
00:08:39.6577746,3,amplitude,27.1,519.6577746
00:08:39.6742799,3,amplitude,27.8,519.6742799
00:08:39.6926021,3,amplitude,27.9,519.6926021
00:08:39.7074291,3,amplitude,28.7,519.7074291
00:08:39.7242816,3,amplitude,28.8,519.7242816
00:08:39.7413850,3,amplitude,28.9,519.741385
00:08:39.7574323,3,amplitude,29.1,519.7574323
00:08:39.7738006,3,amplitude,29.2,519.7738006
